Country,2015,2016,2017,2018,2019,,Average,min,max
Denmark,7.527,7.526,7.521999836,7.555,7.6,,7.545999967,7.521999836,7.6
Finland,7.406,7.413,7.468999863,7.632,7.769,,7.537799973,7.406,7.769
Netherlands,7.378,7.339,7.376999855,7.324,7.488,,7.381199971,7.324,7.488
Sweden,7.364,7.291,7.28399992,7.487,7.343,,7.353799984,7.28399992,7.487
Canada,7.427,7.404,7.315999985,7.328,7.278,,7.350599997,7.278,7.427
Australia,7.284,7.313,7.28399992,7.272,7.228,,7.276199984,7.228,7.313
Austria,7.2,7.119,7.006000042,7.139,7.246,,7.142000008,7.006000042,7.246
Costa Rica,7.226,7.087,7.078999996,7.072,7.167,,7.126199999,7.072,7.226
Norway,7.522,7.498,7.537000179,5.472,7.554,,7.116600036,5.472,7.554
New Zealand,7.286,7.334,7.31400013,6.141,7.307,,7.076400026,6.141,7.334
,,7.039,,,,,7.039,7.039,7.039
Israel,7.278,7.267,7.212999821,6,7.139,,6.979399964,6,7.278
Ireland,6.94,6.907,6.977000237,6.814,7.021,,6.931800047,6.814,7.021
Belgium,6.937,6.929,6.890999794,6.927,6.923,,6.921399959,6.890999794,6.937
United States,7.119,7.104,6.993000031,6.379,6.892,,6.897400006,6.379,7.119
Oman,6.853,,,,,,6.853,6.853,6.853
Iceland,7.561,7.501,7.504000187,4.19,7.494,,6.850000037,4.19,7.561
United Kingdom,6.867,6.725,6.714000225,6.886,7.054,,6.849200045,6.714000225,7.054
United Arab Emirates,6.901,6.573,6.647999763,7.19,6.825,,6.827399953,6.573,7.19
Switzerland,7.587,7.509,7.493999958,3.462,7.48,,6.706399992,3.462,7.587
Brazil,6.983,6.952,6.635000229,6.419,6.3,,6.657800046,6.3,6.983
Czech Republic,6.505,6.596,6.609000206,6.711,6.852,,6.654600041,6.505,6.852
Luxembourg,6.946,6.871,6.862999916,5.185,7.09,,6.590999983,5.185,7.09
Chile,6.67,6.705,6.65199995,6.476,6.444,,6.58939999,6.444,6.705
Mexico,7.187,6.778,6.578000069,5.64,6.595,,6.555600014,5.64,7.187
France,6.575,6.478,6.441999912,6.489,6.592,,6.515199982,6.441999912,6.592
Singapore,6.798,6.739,6.572000027,6.173,6.262,,6.508800005,6.173,6.798
Germany,6.75,6.994,6.951000214,4.657,6.985,,6.467400043,4.657,6.994
Argentina,6.574,6.65,6.598999977,6.388,6.086,,6.459399995,6.086,6.65
Panama,6.786,6.701,6.452000141,5.681,6.321,,6.388200028,5.681,6.786
Uruguay,6.485,6.545,6.453999996,6.096,6.293,,6.374599999,6.096,6.545
Colombia,6.477,6.481,6.356999874,6.26,6.125,,6.339999975,6.125,6.481
Qatar,6.611,6.375,6.375,5.945,6.374,,6.336,5.945,6.611
Suriname,6.269,6.269,,,,,6.269,6.269,6.269
Taiwan,6.298,6.379,6.421999931,5.199,6.446,,6.148799986,5.199,6.446
El Salvador,6.13,6.068,6.002999783,6.167,6.253,,6.124199957,6.002999783,6.253
Lithuania,5.833,5.813,5.90199995,6.91,6.149,,6.12139999,5.813,6.91
North Cyprus,5.695,5.771,5.809999943,7.594,5.718,,6.117599989,5.695,7.594
Bahrain,5.96,6.218,6.086999893,6.105,6.199,,6.113799979,5.96,6.218
Malta,6.302,6.488,6.52699995,4.356,6.726,,6.07979999,4.356,6.726
Slovakia,5.995,6.078,6.09800005,5.948,6.198,,6.06340001,5.948,6.198
Saudi Arabia,6.411,6.379,6.343999863,4.631,6.375,,6.027999973,4.631,6.411
Ecuador,5.975,5.976,6.007999897,5.973,6.028,,5.991999979,5.973,6.028
Spain,6.329,6.361,6.402999878,4.471,6.354,,5.983599976,4.471,6.402999878
Kuwait,6.295,6.239,6.105000019,5.131,6.021,,5.958200004,5.131,6.295
,,5.956,5.955999851,5.956,,,5.95599995,5.955999851,5.956
Thailand,6.455,6.474,6.423999786,3.999,6.008,,5.871999957,3.999,6.474
Guatemala,6.123,6.324,6.453999996,3.964,6.436,,5.860199999,3.964,6.453999996
Trinidad and Tobago,6.168,6.168,6.168000221,4.592,6.192,,5.857600044,4.592,6.192
Poland,5.791,5.835,5.97300005,5.41,6.182,,5.83820001,5.41,6.182
Mauritius,5.477,5.648,5.629000187,6.488,5.888,,5.826000037,5.477,6.488
Bolivia,5.89,5.822,5.822999954,5.752,5.779,,5.813199991,5.752,5.89
Uzbekistan,6.003,5.987,5.971000195,4.806,6.174,,5.788200039,4.806,6.174
Japan,5.987,5.921,5.920000076,5.161,5.886,,5.775000015,5.161,5.987
Italy,5.948,5.977,5.964000225,4.671,6.223,,5.756600045,4.671,6.223
Cyprus,5.689,5.546,5.620999813,5.762,6.046,,5.732799963,5.546,6.046
Hungary,4.8,5.145,5.323999882,7.495,5.758,,5.704399976,4.8,7.495
Peru,5.824,5.743,5.715000153,5.524,5.697,,5.700600031,5.524,5.824
Slovenia,5.848,5.768,5.757999897,4.982,6.118,,5.694799979,4.982,6.118
Kosovo,5.589,5.401,5.278999805,6.083,6.1,,5.690399961,5.278999805,6.1
Libya,5.754,5.615,5.525000095,5.952,5.525,,5.674200019,5.525,5.952
Romania,5.124,5.528,5.824999809,5.81,6.07,,5.671399962,5.124,6.07
Algeria,5.605,6.355,5.872000217,5.295,5.211,,5.667600043,5.211,6.355
Jamaica,5.709,5.51,5.31099987,5.915,5.89,,5.666999974,5.31099987,5.915
Paraguay,5.878,5.538,5.493000031,5.663,5.743,,5.663000006,5.493000031,5.878
Moldova,5.889,5.897,5.837999821,5.125,5.529,,5.655599964,5.125,5.897
Estonia,5.429,5.517,5.611000061,5.739,5.893,,5.637800012,5.429,5.893
Nicaragua,5.828,5.992,6.071000099,4.166,6.105,,5.63240002,4.166,6.105
Belarus,5.813,5.802,5.568999767,5.483,5.323,,5.597999953,5.323,5.813
Venezuela,6.81,6.084,5.25,5.103,4.707,,5.5908,4.707,6.81
Kazakhstan,5.855,5.919,5.818999767,4.41,5.809,,5.562399953,4.41,5.919
Latvia,5.098,5.56,5.849999905,5.358,5.94,,5.561199981,5.098,5.94
Malaysia,5.77,6.005,6.084000111,4.447,5.339,,5.529000022,4.447,6.084000111
Philippines,5.073,5.279,5.429999828,6.123,5.631,,5.507199966,5.073,6.123
Portugal,5.102,5.123,5.195000172,6.374,5.693,,5.497400034,5.102,6.374
Hong Kong,5.474,5.458,5.472000122,5.62,5.43,,5.490800024,5.43,5.62
Croatia,5.759,5.488,5.293000221,5.321,5.432,,5.458600044,5.293000221,5.759
Turkey,5.332,5.389,5.5,5.636,5.373,,5.446,5.332,5.636
South Korea,5.984,5.835,5.837999821,3.254,5.895,,5.361199964,3.254,5.984
Greece,4.857,5.033,5.227000237,6.382,5.287,,5.357200047,4.857,6.382
Nepal,4.514,4.793,4.961999893,7.441,4.913,,5.324599979,4.514,7.441
Russia,5.716,5.856,5.962999821,3.408,5.648,,5.318199964,3.408,5.962999821
Jordan,5.192,5.303,5.335999966,5.79,4.906,,5.305399993,4.906,5.79
Turkmenistan,5.548,5.658,5.822000027,4.161,5.247,,5.287200005,4.161,5.822000027
,,,,,5.274,,5.274,5.274,5.274
Montenegro,5.192,5.161,5.236999989,5.254,5.523,,5.273399998,5.161,5.523
Nigeria,5.268,4.875,5.073999882,5.835,5.265,,5.263399976,4.875,5.835
Azerbaijan,5.212,5.291,5.234000206,5.201,5.208,,5.229200041,5.201,5.291
Honduras,4.788,4.871,5.181000233,5.43,5.86,,5.226000047,4.788,5.86
China,5.14,5.245,5.272999763,5.246,5.191,,5.218999953,5.14,5.272999763
Dominican Republic,4.885,5.155,5.230000019,5.302,5.425,,5.199400004,4.885,5.425
Pakistan,5.194,5.132,5.269000053,4.743,5.653,,5.198200011,4.743,5.653
Indonesia,5.399,5.314,5.262000084,4.707,5.192,,5.174800017,4.707,5.399
Serbia,5.123,5.177,5.394999981,4.571,5.603,,5.173799996,4.571,5.603
Bosnia and Herzegovina,4.949,5.163,5.18200016,5.129,5.386,,5.161800032,4.949,5.386
Bhutan,5.253,5.196,5.011000156,5.082,5.082,,5.124800031,5.011000156,5.253
Laos,4.876,4.876,,5.933,4.796,,5.12025,4.796,5.933
Palestinian Territories,4.715,4.754,4.775000095,6.43,4.696,,5.074000019,4.696,6.43
Mongolia,4.874,4.907,4.954999924,5.347,5.285,,5.073599985,4.874,5.347
Kyrgyzstan,5.286,5.185,5.004000187,4.623,5.261,,5.071800037,4.623,5.286
Somaliland region,5.057,5.057,,,,,5.057,5.057,5.057
Sudan,4.55,4.139,4.138999939,7.314,,,5.035499985,4.138999939,7.314
Iraq,4.677,4.575,4.497000217,6.977,4.437,,5.032600043,4.437,6.977
Morocco,5.013,5.151,5.235000134,4.417,5.208,,5.004800027,4.417,5.235000134
,,5.44,5.151000023,4.724,4.668,,4.995750006,4.668,5.44
Sierra Leone,4.507,4.635,4.709000111,6.343,4.374,,4.913600022,4.374,6.343
Tunisia,4.739,5.045,4.804999828,5.483,4.461,,4.906599966,4.461,5.483
South Africa,4.642,4.459,4.828999996,5.875,4.722,,4.905399999,4.459,5.875
Georgia,4.297,4.252,4.285999775,6.965,4.519,,4.863799955,4.252,6.965
Ukraine,4.681,4.324,4.096000195,6.774,4.332,,4.841400039,4.096000195,6.774
Lebanon,4.839,5.129,5.224999905,3.808,5.197,,4.839599981,3.808,5.224999905
Vietnam,5.36,5.061,5.073999882,3.355,5.175,,4.804999976,3.355,5.36
Tajikistan,4.786,4.996,5.040999889,3.303,5.467,,4.718599978,3.303,5.467
Albania,4.959,4.655,4.644000053,4.586,4.719,,4.712600011,4.586,4.959
Kenya,4.419,4.356,4.552999973,5.662,4.509,,4.699799995,4.356,5.662
Cameroon,4.252,4.513,4.695000172,4.975,5.044,,4.695800034,4.252,5.044
Ghana,4.633,4.276,4.119999886,5.358,4.996,,4.676599977,4.119999886,5.358
,,4.574,4.573999882,4.88,4.639,,4.66674997,4.573999882,4.88
Mauritania,4.436,4.201,4.291999817,5.891,4.49,,4.661999963,4.201,5.891
Mali,3.995,4.073,4.190000057,6.627,4.39,,4.655000011,3.995,6.627
Iran,4.686,4.813,4.691999912,4.456,4.548,,4.638999982,4.456,4.813
Bulgaria,4.218,4.217,4.714000225,4.933,5.011,,4.618600045,4.217,5.011
Macedonia,5.007,5.121,5.175000191,3.774,3.933,,4.602000038,3.774,5.175000191
Bangladesh,4.694,4.643,4.607999802,4.5,4.456,,4.58019996,4.456,4.694
Mozambique,4.971,,4.550000191,4.308,4.466,,4.573750048,4.308,4.971
Senegal,3.904,4.219,4.534999847,5.398,4.681,,4.547399969,3.904,5.398
Swaziland,4.867,,,,4.212,,4.5395,4.212,4.867
Ivory Coast,3.655,3.916,4.179999828,5.89,4.944,,4.516999966,3.655,5.89
India,4.565,4.404,4.315000057,5.093,4.015,,4.478400011,4.015,5.093
Zambia,5.129,4.795,4.513999939,3.692,4.107,,4.447399988,3.692,5.129
Malawi,4.292,4.156,3.970000029,6.322,3.41,,4.430000006,3.41,6.322
,,,,4.34,4.516,,4.428,4.34,4.516
Ethiopia,4.512,4.508,4.460000038,4.35,4.286,,4.423200008,4.286,4.512
Myanmar,4.307,4.395,4.545000076,4.441,4.36,,4.409600015,4.307,4.545000076
Gabon,3.896,4.121,4.465000153,4.758,4.799,,4.407800031,3.896,4.799
Armenia,4.35,4.36,4.375999928,4.321,4.559,,4.393199986,4.321,4.559
Congo (Brazzaville),3.989,4.236,4.290999889,4.559,4.812,,4.377399978,3.989,4.812
Egypt,4.194,4.362,4.735000134,4.419,4.166,,4.375200027,4.166,4.735000134
Djibouti,4.369,,,,,,4.369,4.369,4.369
Congo (Kinshasa),4.517,4.272,4.28000021,4.245,4.418,,4.346400042,4.245,4.517
Sri Lanka,4.271,4.415,4.440000057,4.139,4.366,,4.326200011,4.139,4.440000057
Niger,3.845,3.856,4.027999878,5.155,4.628,,4.302399976,3.845,5.155
Liberia,4.571,3.622,3.532999992,5.566,3.975,,4.253399998,3.532999992,5.566
Haiti,4.518,4.028,3.602999926,5.504,3.597,,4.249999985,3.597,5.504
Cambodia,3.819,3.907,4.168000221,4.433,4.7,,4.205400044,3.819,4.7
,,3.832,3.59100008,6.31,2.853,,4.14650002,2.853,6.31
Zimbabwe,4.61,4.193,3.875,,3.663,,4.08525,3.663,4.61
Burkina Faso,3.587,3.739,4.032000065,4.424,4.587,,4.073800013,3.587,4.587
Rwanda,3.465,3.515,3.470999956,6.371,3.334,,4.031199991,3.334,6.371
Tanzania,3.781,3.666,3.348999977,6.072,3.231,,4.019799995,3.231,6.072
Uganda,3.931,3.739,4.080999851,4.103,4.189,,4.00859997,3.739,4.189
Chad,3.667,3.763,3.936000109,4.301,4.35,,4.003400022,3.667,4.35
Lesotho,4.898,,3.808000088,3.495,3.802,,4.000750022,3.495,4.898
Togo,2.839,3.303,3.494999886,6.192,4.085,,3.982799977,2.839,6.192
Comoros,3.956,3.956,,,3.973,,3.961666667,3.956,3.973
Benin,3.34,3.484,3.657000065,4.141,4.883,,3.901000013,3.34,4.883
Syria,3.006,3.069,3.461999893,6.441,3.462,,3.887999979,3.006,6.441
Angola,4.033,3.866,3.795000076,3.795,,,3.872250019,3.795,4.033
Yemen,4.077,3.724,3.592999935,4.377,3.38,,3.830199987,3.38,4.377
Botswana,4.332,3.974,3.766000032,3.59,3.488,,3.830000006,3.488,4.332
Guinea,3.656,3.607,3.506999969,3.582,4.534,,3.777199994,3.506999969,4.534
Madagascar,3.681,3.695,3.644000053,3.587,,,3.651750013,3.587,3.695
Afghanistan,3.575,3.36,3.79399991,3.632,3.203,,3.512799982,3.203,3.79399991
Central African Republic,3.678,,2.693000078,3.083,3.083,,3.13425002,2.693000078,3.678
Burundi,2.905,2.905,2.904999971,2.905,3.775,,3.078999994,2.904999971,3.775
